objid,ra,dec,u,g,r,i,z
588848899934126413,228.999896,-0.101591,24.195,23.293,22.656,22.365,23.604
588848899934126414,228.998773,-0.10285,23.299,22.972,22.838,22.987,21.401
588848899934126481,229.013163,-0.12125,21.836,19.449,18.017,17.011,16.449
588848899934126482,229.015048,-0.121384,19.796,18.253,17.591,17.319,17.165
588848899934126486,229.014061,-0.121864,23.192,22.385,21.921,21.915,21.719
588848899934126488,229.013163,-0.122806,23.283,22.876,22.595,22.029,21.915
588848899934126490,229.01157,-0.121582,24.209,23.453,22.892,22.239,21.364
588848899934126529,229.023788,-0.115935,18.891,17.623,17.306,17.163,17.117
588848899934126530,229.020125,-0.122846,21.382,19.952,19.407,19.184,19.08
588848899934126532,229.024681,-0.114759,21.178,20.267,19.902,19.746,19.783
588848899934126537,229.025215,-0.116611,22.075,20.905,20.535,20.404,20.476
588848899934126541,229.026533,-0.113277,22.848,21.161,20.85,20.73,21.105
588848899934126551,229.028703,-0.112674,22.916,21.591,21.343,21.158,21.022
588848899934126552,229.028266,-0.11118,22.961,21.796,21.346,21.352,21.004
588848899934127143,229.010707,-0.124864,22.608,21.093,20.799,20.737,20.549
588848899934127144,229.00652,-0.122943,22.541,21.289,20.93,20.775,20.687
588848899934127162,228.997713,-0.115397,23.636,21.789,21.399,21.173,21.596
588848899934127164,228.999339,-0.1158,23.329,22.215,21.972,21.688,21.274
588848899934127244,229.010758,-0.093844,20.957,19.728,19.173,18.926,18.832
588848899934127245,229.008745,-0.094598,22.787,21.555,21.128,21.175,20.704
588848899934127246,229.009265,-0.0957,23.765,22.501,21.966,22.028,23.053
588848899934127248,229.012403,-0.093807,24.831,23.084,22.492,22.673,21.437
588848899934127343,229.018198,-0.09676,21.678,20.633,20.321,20.163,20.067
588848899934127352,229.020661,-0.097509,21.978,21.093,20.732,20.607,20.395
588848899934127362,229.023533,-0.101311,20.612,19.49,19.327,19.286,19.209
588848899934127375,229.024897,-0.097617,20.283,18.894,18.288,18.029,17.883
588848899934128165,229.015576,-0.094344,22.362,21.188,20.882,20.85,20.587
588848899934128814,229.005215,-0.09719,24.988,23.099,22.41,22.092,22.502
588848899934128824,229.007222,-0.095826,22.88,21.738,21.4,21.268,20.749
588848899934128883,229.012018,-0.091775,23.099,22.018,21.692,21.531,21.329
588848899934128900,229.018055,-0.121444,22.964,22.548,22.292,22.043,22.478
588848899934128921,229.021261,-0.09478,22.825,21.678,21.302,20.969,20.903
588848899934128940,229.022728,-0.120074,23.518,22.685,22.339,22.003,21.646
588848899934126272,228.992359,-0.116726,23.242,22.191,21.844,21.354,21.685
588848899934126280,228.990619,-0.113713,24.647,23.163,22.897,22.751,21.507
588848899934126293,228.99268,-0.096575,18.77,17.507,17.394,17.365,17.38
588848899934126295,228.994284,-0.097541,25.091,22.748,22.413,21.924,22.454
588848899934126377,229.035844,-0.108263,21.392,19.943,19.379,19.146,19.042
588848899934126383,229.031047,-0.105408,21.704,20.589,20.184,20.103,19.923
588848899934126384,229.031138,-0.100889,21.734,20.626,20.298,20.175,20.179
588848899934126392,229.033683,-0.104587,21.751,20.735,20.334,20.252,20.399
588848899934126467,229.010834,-0.0894,19.867,18.323,17.658,17.364,17.226
588848899934126468,229.009411,-0.09003,21.846,21.018,20.485,20.278,20.266
588848899934126469,229.009667,-0.091056,23.62,21.23,20.863,20.786,21.179
588848899934126528,229.027186,-0.11694,18.923,16.916,16.109,15.761,15.571
588848899934126543,229.032869,-0.116269,22.2,21.4,21.061,21.064,20.873
588848899934126546,229.030342,-0.123249,22.383,21.684,21.23,21.086,21.845
588848899934126616,229.021068,-0.128541,21.504,20.44,19.951,19.759,19.637
588848899934126620,229.023099,-0.127638,21.559,20.682,20.325,20.223,19.955
588848899934126621,229.020026,-0.129687,21.854,20.804,20.44,20.347,20.353
588848899934126626,229.018032,-0.130945,24.216,22.075,20.721,20.113,19.95
588848899934126628,229.026245,-0.126598,22.23,21.12,20.813,20.577,20.406
588848899934126633,229.024426,-0.128274,22.77,21.331,21.019,21.034,20.9
588848899934127068,228.990285,-0.107442,20.676,19.545,19.03,18.825,18.687
588848899934127069,228.990237,-0.110574,23.438,22.483,22.041,21.698,22.238
588848899934127070,228.989374,-0.108069,25.067,23.359,22.632,22.065,22.677
588848899934127071,228.990248,-0.109048,25.584,23.271,22.749,22.671,22.529
588848899934127080,228.99309,-0.103177,20.708,19.338,18.772,18.509,18.35
588848899934127081,228.992086,-0.105109,21.02,20.084,19.786,19.718,19.665
588848899934127083,228.994012,-0.102356,22.819,21.725,21.36,21.31,21.109
588848899934127127,228.996043,-0.103987,21.858,20.919,20.694,20.541,20.781
588848899934127128,228.995025,-0.104195,23.333,21.793,21.496,21.178,20.965
588848899934127132,229.006581,-0.125845,21.14,19.888,19.306,19.062,18.959
588848899934127138,229.002784,-0.127152,22.19,20.937,20.74,20.437,20.395
588848899934127139,229.00686,-0.127281,21.899,20.916,20.576,20.503,20.309
588848899934127140,228.997332,-0.126308,22.395,21.118,20.756,20.653,20.906
588848899934127141,229.007555,-0.126228,22.224,21.165,20.928,20.623,21.02
588848899934127142,229.001136,-0.126609,21.998,21.236,20.94,20.719,20.725
588848899934127146,229.001788,-0.12709,22.977,21.534,21.386,21.286,21.355
588848899934127151,229.006256,-0.127954,23.22,22.215,22.053,21.857,20.826
588848899934127152,229.00306,-0.1238,23.032,21.895,21.636,21.652,20.652
588848899934127153,229.007562,-0.125243,23.594,22.51,21.974,21.604,21.454
588848899934127154,229.001074,-0.127387,23.662,22.67,22.276,22.001,21.262
588848899934127155,229.008178,-0.124497,23.858,22.531,21.88,21.785,22.188
588848899934127158,228.993202,-0.120119,24.751,23.271,21.624,19.619,18.37
588848899934127160,228.996664,-0.116696,22.04,21.023,20.672,20.512,20.533
588848899934127163,228.993745,-0.118787,23.485,22.467,21.899,21.95,22.047
588848899934127165,228.995861,-0.119111,25.591,22.541,22.336,21.911,21.344
588848899934127166,228.996784,-0.093196,21.567,20.413,20.112,19.967,19.874
588848899934127168,228.996918,-0.097179,22.128,20.265,19.368,19.08,18.863
588848899934127169,228.999149,-0.096258,21.713,20.583,20.201,20.084,19.907
588848899934127170,228.998047,-0.096144,21.896,21.193,21.058,20.973,21.035
588848899934127175,228.99761,-0.121502,21.955,21.259,20.989,20.785,20.641
588848899934127176,228.997979,-0.119721,23.867,22.621,22.345,22.247,21.904
588848899934127178,228.999594,-0.09122,21.424,20.47,20.347,20.288,20.153
588848899934127179,228.99995,-0.093603,21.643,20.623,20.375,20.351,20.306
588848899934127180,228.99853,-0.09117,21.669,20.885,20.576,20.458,20.349
588848899934127181,228.999519,-0.092308,23.462,23.125,22.712,22.283,22.419
588848899934127208,229.004916,-0.086683,21.468,20.449,19.982,19.786,19.726
588848899934127209,229.003445,-0.088651,21.559,20.546,20.096,19.916,19.816
588848899934127210,229.003646,-0.089804,22.232,21.218,20.815,20.739,20.698
588848899934127211,229.006624,-0.08736,22.609,21.348,20.98,20.937,20.573
588848899934127214,229.004377,-0.088114,24.289,23.615,22.681,23.101,21.626
588848899934127288,229.013794,-0.131905,23.814,22.789,22.648,22.246,22.355
588848899934127305,229.015419,-0.084949,21.847,20.924,20.668,20.498,20.474
588848899934127319,229.016296,-0.125236,21.149,20.135,19.784,19.658,19.673
588848899934127320,229.018092,-0.12524,24.406,22.283,21.935,21.793,22.588
588848899934127321,229.017458,-0.124564,23.626,22.576,22.256,21.92,21.381
588848899934127378,229.02504,-0.122199,21.392,20.357,19.957,19.821,19.788
588848899934127379,229.026197,-0.122339,23.999,22.5,22.2,21.958,21.936
588848899934127413,229.028416,-0.095323,22.073,20.786,20.436,20.332,20.067
588848899934127414,229.029713,-0.094508,22.666,21.297,21.017,20.853,20.814
588848899934127415,229.027118,-0.096147,22.802,21.804,21.374,21.519,21.183
588848899934128107,228.996611,-0.11345,22.278,21.248,20.894,20.921,20.532
588848899934128111,229.001118,-0.123302,22.001,21.235,20.91,20.831,20.64
588848899934128121,229.002538,-0.091946,22.246,21.666,21.246,21.135,20.86
588848899934128164,229.014673,-0.126857,21.744,20.974,20.661,20.581,20.623
588848899934128167,229.016756,-0.0872,22.037,21.255,20.86,20.743,20.666
588848899934128168,229.015511,-0.087921,23.089,21.892,21.666,21.458,21.378
588848899934128169,229.014461,-0.087071,23.008,21.928,21.722,21.566,21.25
588848899934128170,229.013569,-0.087544,22.888,22.193,21.67,21.529,21.138
588848899934128171,229.018562,-0.087405,24.75,22.305,22.006,21.747,21.131
588848899934128172,229.017941,-0.085963,23.331,22.45,22.02,21.907,21.42
588848899934128173,229.019325,-0.087081,24.45,22.496,22.102,22.255,21.82
588848899934128737,228.989928,-0.10218,23.327,22.241,22.058,21.835,21.769
588848899934128757,228.99324,-0.106781,22.748,21.419,20.949,20.748,20.749
588848899934128759,228.994802,-0.122294,24.085,22.552,22.266,22.175,22.355
588848899934128813,229.005108,-0.128976,23.768,23.186,23.006,22.822,22.038
588848899934128820,229.006582,-0.090807,22.869,21.856,21.48,21.276,21.17
588848899934128841,229.008039,-0.131572,23.503,22.94,22.608,22.221,21.819
588848899934128849,229.008164,-0.086481,23.232,22.28,21.756,21.668,22.195
588848899934128850,229.008623,-0.085085,24.597,23.294,22.917,22.271,23.212
588848899934128863,229.010841,-0.129431,23.881,22.824,22.219,22.052,21.648
588848899934128867,229.010131,-0.13088,24.198,23.422,22.417,22.572,22.641
588848899934128884,229.012739,-0.091392,23.329,22.602,22.146,22.102,21.228
588848899934128885,229.014177,-0.090843,24.695,23.139,23.094,22.755,22.971
588848899934128929,229.022211,-0.08873,23.262,22.436,22.083,21.682,21.682
588848899934128935,229.022028,-0.125932,25.18,22.728,22.42,22.55,22.58
588848899934128942,229.024441,-0.092405,23.808,22.954,23.007,22.46,21.885
588848899934128949,229.025344,-0.094743,22.837,22.222,21.877,21.5,20.944
588848899934128968,229.027494,-0.09118,24.314,22.91,22.114,22.07,22.013
588848899934128969,229.02644,-0.091427,24.094,22.907,22.228,22.504,21.817
588848899934128970,229.027924,-0.091438,24.155,22.743,22.411,22.22,22.899
588848899934128999,229.032211,-0.113339,23.084,22.347,21.682,21.578,22.234
588848899934129000,229.033003,-0.0981,22.919,21.933,21.341,21.11,21.17
588848899934129433,229.01583,-0.089867,24.384,24.377,22.852,21.893,21.029
588848899934129450,229.035501,-0.10364,24.505,23.502,22.841,23.463,22.247
588848899934126243,228.983777,-0.101607,18.612,16.409,15.514,15.134,14.909
588848899934126248,228.985268,-0.10174,22.621,21.771,21.35,21.914,21.099
588848899934126249,228.981549,-0.106136,22.25,21.448,21.065,20.93,20.906
588848899934126266,228.988413,-0.114781,18.967,17.741,17.595,17.537,17.512
588848899934126267,228.990178,-0.119463,21.032,19.778,19.178,18.965,18.837
588848899934126269,228.988794,-0.113401,22.337,21.233,20.867,20.806,20.553
588848899934126271,228.989378,-0.114166,22.489,21.48,21.085,20.936,20.513
588848899934126273,228.989272,-0.118488,23.27,22.091,21.745,21.716,21.123
588848899934126274,228.989397,-0.116103,23.716,22.063,21.609,21.629,21.926
588848899934126275,228.98829,-0.111528,23.638,22.058,21.734,21.731,21.776
588848899934126277,228.988652,-0.117813,22.961,22.456,22.169,21.838,21.877
588848899934126279,228.990778,-0.118002,24.354,22.9,22.244,22.089,22.487
588848899934126281,228.988377,-0.11691,25.401,23.202,23.564,23.51,22.193
588848899934126294,228.990852,-0.098243,18.815,17.914,17.568,17.433,17.357
588848899934126306,228.995367,-0.088115,18.379,16.137,15.205,14.805,14.577
588848899934126307,228.996363,-0.089754,18.91,17.667,17.351,17.231,17.182
588848899934126308,228.993597,-0.086543,21.448,20.086,19.505,19.257,19.131
588848899934126309,228.998493,-0.088659,21.971,20.838,20.516,20.373,20.183
588848899934126310,228.994608,-0.089334,22.202,21.074,20.892,20.585,21.325
588848899934126311,228.993857,-0.085337,22.537,21.419,21.077,20.868,20.972
588848899934126313,228.995808,-0.091316,23.612,22.567,22.144,21.544,21.458
588848899934126318,228.996129,-0.134805,20.584,19.3,18.738,18.496,18.367
588848899934126327,229.000863,-0.13731,22.416,21.71,21.274,21.064,21.54
588848899934126329,228.999157,-0.136566,23.076,21.923,21.406,21.247,21.321
588848899934126330,228.995006,-0.134226,23.089,21.961,21.528,21.414,21.312
588848899934126334,228.998234,-0.135992,23.047,22.302,21.67,21.595,21.648
588848899934126338,229.001892,-0.138312,25.262,24.216,22.703,22.986,21.896
588848899934126375,229.037607,-0.108544,20.84,19.583,19.022,18.795,18.663
